Song Title,Artist,Spotify URI,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Tempo
Love Me Like That,Sam Kim,1lhm29o3syw122xynSKaAK,0.854,0.59,0.294,0,0.0873,0.0654,0.461,87.895
Everytime,CHEN,1D6lK8qADoErTTLkY4YBfM,0.483,0.514,0.736,0,0.18,0.0321,0.495,90.002
Sweet Night,V,3Wno87vVBVbSVS2vUUFuKC,0.491,0.459,0.339,6.05E-06,0.0892,0.0251,0.146,92.097
I Will Go To You Like the First Snow,AILEE,2BPXILn0MqOe5WroVXlvN1,0.66,0.497,0.431,0,0.153,0.0287,0.167,133.675
그대라는 시,TAEYEON,56Cmy1rCQ35V2Q7groYiHl,0.914,0.533,0.292,0,0.118,0.0364,0.472,135.624
It's You,HENRY,61OtYav1fiUCr73JwZD2Sb,0.609,0.55,0.465,0,0.109,0.0248,0.314,76.033
시작,Gaho,5TeDIQrpwWtLWaFfzLH0hh,0.179,0.595,0.816,0,0.129,0.0743,0.573,108.115
You Are My Everything,Gummy,4s80CRYk3rRPZE56NvmFi7,0.665,0.343,0.499,0,0.119,0.0387,0.104,131.076
Your Existence,Wonstein,2tmX4T7ODY34NwvQ3DD3MC,0.536,0.418,0.603,2.52E-05,0.11,0.204,0.657,100.171
ALWAYS,Yoon Mirae,4LsMjCB4qt4RnWcJBiHrA6,0.777,0.41,0.604,0,0.312,0.0331,0.28,128.845
For You,CHEN,7rLvsAO1yb7ElxPhkz60qh,0.102,0.533,0.838,0,0.394,0.0319,0.449,75.021
If It Is You,Jung Seung Hwan,5i6gHFXg4aLK5xvc2jJJC5,0.686,0.387,0.515,0,0.16,0.0338,0.199,135.221
I Miss You,SOYOU,3SfbB0Y3saMIQnNctxMVhj,0.901,0.482,0.344,0,0.129,0.0318,0.211,133.499
내 맘을 볼 수 있나요,HEIZE,2oVHb8wyg6oC2iNpGBNvx1,0.884,0.397,0.166,0,0.1,0.0349,0.131,134.708
미래,Red Velvet,1HZR7A1UE9vBu24j9bZNN7,0.48,0.718,0.865,0,0.147,0.0413,0.56,100.013
MY LOVE,LeeHi,4PvVKyqJ6pLVi5HKpAjTPc,0.859,0.375,0.343,0,0.134,0.0345,0.158,121.879
Good Person (2022),HAECHAN,0lbtRkC7Bs9aR3ZYvtZydi,0.657,0.565,0.366,1.21E-05,0.131,0.0278,0.385,81.943
Aloha,CHO JUNG SEOK,1hOEq5q9L41E2YbLhVvW5x,0.401,0.672,0.601,0,0.0912,0.024,0.487,98.991
Sunset,DAVICHI,4pGYUkxccL8wtRaOrbuJ5j,0.894,0.478,0.292,0,0.121,0.0312,0.208,131.831
Starlight,TAEIL,00Coyxt9mTec1acC52qtWa,0.0786,0.643,0.735,0,0.101,0.0302,0.502,111.961
Day & Night,Jung Seung Hwan,0JlYPewyE0Cs5rkUCsWqgy,0.898,0.501,0.271,0.00483,0.175,0.0279,0.285,131.976
"Very, Slowly",BIBI,7GkHIsnziYgk6j1lx2TK6H,0.678,0.528,0.423,0.00148,0.167,0.0264,0.249,135.917
Wishes,Jamie Miller,1kSBUhFBZT6z62eTTjeJLi,0.48,0.468,0.447,0,0.115,0.0453,0.137,71.821
Flower,Yoon Mirae,2m5Ex34NOwIWOwHthEqLco,0.751,0.321,0.475,3.31E-06,0.107,0.0358,0.199,139.393
Here Always (SEUNGMIN of Stray Kids),Stray Kids,2WdnAdw7zpgU0FRkGiRV8n,0.345,0.573,0.39,2.64E-06,0.104,0.0272,0.118,82.035
너를 사랑하고 있어,BAEKHYUN,2KhNgn4w8LHxn3ybLoofh4,0.853,0.606,0.46,4.09E-06,0.0933,0.0402,0.131,124.117
Reset (feat. Jinsil),Tiger JK,1uJLYKtzCOhZI1zZW99W8I,0.335,0.614,0.787,0,0.157,0.0583,0.459,143.841
Breath,Sam Kim,12cDuwg8jJ4N7RokLnFWfQ,0.837,0.642,0.501,1.80E-05,0.0914,0.0324,0.298,122.973
Running,Gaho,6IcVM9iHTsX4sm0Xj54MBF,0.222,0.569,0.861,0,0.312,0.0567,0.637,139.997
긴 밤이 오면,Eddy Kim,3j1RB91MFxn8oY9jYoQ36t,0.624,0.48,0.501,0,0.0748,0.0296,0.222,110.872
Go!,DOKYEOM,4hzeoIOERTL4jdTXAQ0FWr,0.0145,0.45,0.901,2.61E-06,0.361,0.0502,0.511,156.861
Love Sight,TOMORROW X TOGETHER,35HpFGWVSqW4D0Wi8A7zLI,0.391,0.607,0.433,0,0.122,0.0304,0.204,111.845
